Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
Standup M-Set Basic Medium Ship Manufacturing Time Efficiency I,2,2,1.485.633.323,,,,,,,
Corpum A-Type Kinetic Energized Membrane,39,50,1.483.084.881,,,,,,,
Imperial Navy Capacitor Power Relay,26,31,1.482.526.002,,,,,,,
Nanomechanical Microprocessor,67,66.975,1.482.302.366,,,,,,,
Corpus X-Type Heavy Energy Nosferatu,37,59,1.481.718.364,,,,,,,
Retribution Yoiul Star SKIN,1,1,1.480.000.000,,,,,,,
Dark Blood Medium Energy Neutralizer,13,17,1.477.917.192,,,,,,,
Antipharmakon Toxot,14,30,1.477.051.775,,,,,,,
100K Bounty SCC Encrypted Bond,92,3.379,1.475.704.442,,,,,,,
Gravid Large Shield Extender Mutaplasmid,39,63,1.473.817.849,,,,,,,
Maller,97,157,1.472.802.145,,,,,,,
Inherent Implants 'Squire' Capacitor Systems Operation EO-603,65,108,1.471.547.465,,,,,,,
Gila Scope Syndication YC122 SKIN,2,2,1.470.083.333,,,,,,,
Domination Capital Shield Extender,2,2,1.468.049.193,,,,,,,
Osprey Navy Issue Vitalshift EGO SKIN,1,1,1.467.333.333,,,,,,,
Crusader,70,84,1.467.079.559,,,,,,,
Compressed Fullerite-C320,26,151.961,1.466.464.722,,,,,,,
EDENCOM Cruiser,30,38,1.464.150.000,,,,,,,
Vexor Deathglow Hunters SKIN,4,4,1.463.273.408,,,,,,,
5MN Microwarpdrive II,558,902,1.463.048.957,,,,,,,
Augoror Navy Issue,30,41,1.460.187.860,,,,,,,
Standup Templar II,6,30,1.459.243.353,,,,,,,
Capital Transverse Bulkhead I,10,19,1.458.874.077,,,,,,,
Eifyr and Co. 'Gunslinger' Motion Prediction MR-703,66,106,1.458.071.851,,,,,,,
CONCORD XL Cruise Missile Launcher,1,3,1.456.812.500,,,,,,,
Focused Void Bomb,96,855,1.456.566.370,,,,,,,
Republic Fleet 1400mm Howitzer Artillery,6,30,1.456.462.935,,,,,,,
Structure Market Network Blueprint,6,7,1.454.545.454,,,,,,,
Mutated Drone Specialization,19,23,1.452.538.158,,,,,,,
Executive' Remote Sensor Dampener,12,13,1.452.012.500,,,,,,,
Compressed Hemorphite,19,594.182,1.450.728.345,,,,,,,
Hurricane Deathglow Hunters SKIN,2,2,1.450.000.000,,,,,,,
Improved Mindflood Booster,85,285,1.448.801.495,,,,,,,
Tengu Emperor Bear SKIN,1,1,1.446.666.667,,,,,,,
Drake Ghostbird SKIN,1,1,1.444.999.936,,,,,,,
Abaddon Imperial Jubilee SKIN,1,1,1.444.999.936,,,,,,,
Jump Portal Generator I Blueprint,3,3,1.444.367.232,,,,,,,
Synth Frentix Booster,180,747,1.442.105.983,,,,,,,
Unit W-634's Modified Drone Link Augmentor,1,1,1.441.953.100,,,,,,,
Gravid Ballistic Control System Mutaplasmid,77,135,1.440.662.415,,,,,,,
Women's Amarr Empire Command Jacket,1,1,1.440.000.000,,,,,,,
Augmented' Ice Harvesting Drone,28,49,1.439.764.727,,,,,,,
Federation Navy Fleet Major Insignia I,191,9.372,1.438.672.039,,,,,,,
Cormack's Modified Co-Processor,1,1,1.437.100.045,,,,,,,
50MN Microwarpdrive II,318,458,1.436.082.179,,,,,,,
Republic Fleet Berserker,116,823,1.435.571.641,,,,,,,
Corpum A-Type Medium Energy Nosferatu,34,46,1.433.624.140,,,,,,,
Proteus Core - Friction Extension Processor,31,34,1.430.405.398,,,,,,,
Cyclops I,8,85,1.429.928.777,,,,,,,
Dread Guristas Heavy Missile Launcher,8,10,1.429.371.338,,,,,,,
Standup M-Set Energy Neutralizer Economy I,5,5,1.429.122.230,,,,,,,
Shrapnel Bomb Blueprint,6,6,1.428.668.708,,,,,,,
Caldari Navy Cloaking Device,56,70,1.427.934.640,,,,,,,
Zainou 'Gypsy' Signature Analysis SA-705,8,9,1.427.523.399,,,,,,,
Dread Guristas Heavy Assault Missile Launcher,7,10,1.427.516.000,,,,,,,
Zainou 'Beancounter' Industry BX-804,13,17,1.425.587.138,,,,,,,
Sylramic Fibers Reaction Formula,34,108,1.424.751.299,,,,,,,
Republic Fleet Warrior,232,2.111,1.424.588.761,,,,,,,
Standup M-Set Equipment Manufacturing Time Efficiency I,2,2,1.422.674.992,,,,,,,
Standup M-Set Advanced Small Ship Manufacturing Material Efficiency I,2,2,1.422.350.032,,,,,,,
Federation Navy Multispectrum Energized Membrane,47,75,1.421.441.191,,,,,,,
Loki Defensive - Adaptive Defense Node,30,33,1.420.529.673,,,,,,,
Gistii A-Type 1MN Afterburner,27,35,1.420.433.398,,,,,,,
Void L,246,4.896.931,1.420.191.873,,,,,,,
Zainou 'Gnome' Shield Emission Systems SE-806,5,5,1.417.320.320,,,,,,,
Inherent Implants 'Squire' Power Grid Management EG-604,9,11,1.416.367.830,,,,,,,
Distribution Connections,39,47,1.415.791.410,,,,,,,
Low-grade Nirvana Epsilon,4,4,1.412.546.242,,,,,,,
Radical' Damage Control,14,15,1.411.597.675,,,,,,,
Guristas Brass Tag,35,63,1.406.450.601,,,,,,,
Equite II,13,131,1.402.369.181,,,,,,,
Basilisk Vitalshift EGO SKIN,1,1,1.400.000.000,,,,,,,
Standup Templar I Blueprint,5,7,1.400.000.000,,,,,,,
Fenrir Hazard Control SKIN,1,1,1.400.000.000,,,,,,,
Standup Cloning Center I Blueprint,1,1,1.400.000.000,,,,,,,
Structure Medical Center Blueprint,6,7,1.400.000.000,,,,,,,
Dominix IGC Victory SKIN,1,1,1.400.000.000,,,,,,,
Hurricane Fleet Issue In Rust We Trust SKIN,1,1,1.399.000.064,,,,,,,
XL Cruise Missile Launcher I,7,13,1.398.402.486,,,,,,,
Chelm's Modified Kinetic Energized Membrane,1,1,1.398.366.709,,,,,,,
Nanoelectrical Microprocessor,91,74.856,1.398.072.330,,,,,,,
Draclira's Modified EM Armor Hardener,1,1,1.398.000.000,,,,,,,
Paladin Cold Iron SKIN,18,19,1.396.070.784,,,,,,,
Capital Energy Turret,17,46,1.396.046.928,,,,,,,
Tetrimon Capacitor Booster IV,49,61,1.395.776.849,,,,,,,
Damavik,51,61,1.395.362.327,,,,,,,
Angel Control Tower Medium,1,1,1.395.000.064,,,,,,,
Termite I,6,36,1.394.703.170,,,,,,,
Posse' Multispectrum Shield Hardener,13,15,1.394.628.299,,,,,,,
Crop' Gas Cloud Scoop,6,11,1.392.701.675,,,,,,,
True Sansha Control Tower Medium,1,1,1.392.433.312,,,,,,,
Domination 50MN Microwarpdrive,11,11,1.392.366.737,,,,,,,
Standup M-Set Drone and Fighter Manufacturing Time Efficiency I,2,2,1.391.450.016,,,,,,,
Kronos Federal Police SKIN,1,1,1.391.400.000,,,,,,,
Unit P-343554's Modified Omnidirectional Tracking Enhancer,1,1,1.390.781.240,,,,,,,
Gist B-Type Shield Boost Amplifier,10,11,1.390.462.545,,,,,,,
Gistum B-Type Medium Remote Shield Booster,22,43,1.390.256.248,,,,,,,
Omen,91,117,1.388.448.903,,,,,,,
Low-grade Asklepian Epsilon,11,12,1.387.278.687,,,,,,,
High-grade Snake Alpha,14,14,1.384.500.060,,,,,,,
Compressed Arkonor,56,689.793,1.380.138.018,,,,,,,
Arazu Intaki Syndicate SKIN,1,1,1.380.000.000,,,,,,,
Men's DED Cryptologic Technician Coat,1,1,1.379.500.032,,,,,,,
Titanium Diborite Armor Plate,59,257.756,1.377.367.902,,,,,,,
Ishtar Heartsurge SKIN,1,1,1.377.000.000,,,,,,,
Standup Heavy Energy Neutralizer II,5,6,1.375.241.710,,,,,,,
Ice Harvester I,173,485,1.374.876.088,,,,,,,
Proteus Offensive - Hybrid Encoding Platform,38,41,1.374.549.672,,,,,,,
Standup Heavy Guided Bomb,12,523,1.372.608.732,,,,,,,
Unstable 5MN Microwarpdrive Mutaplasmid,23,31,1.370.904.841,,,,,,,
Inherent Implants 'Noble' Remote Armor Repair Systems RA-706,2,3,1.370.890.154,,,,,,,
Domination X-Large Shield Booster,8,8,1.370.594.602,,,,,,,
Ore Prospecting Array 5,2,3,1.369.905.337,,,,,,,
Huginn Awakening YC125 SKIN,5,5,1.366.808.301,,,,,,,
Restrained Compounds,43,2.643,1.366.207.396,,,,,,,
Standup M-Set Composite Reactor Time Efficiency I,2,2,1.364.932.681,,,,,,,
Thorax,105,152,1.364.637.928,,,,,,,
Spirits,183,3.177.965,1.364.055.586,,,,,,,
Standup M-Set Composite Reactor Material Efficiency I,2,2,1.363.682.577,,,,,,,
Legion Offensive - Assault Optimization,36,40,1.362.366.912,,,,,,,
Advanced Infomorph Psychology,34,47,1.362.361.380,,,,,,,
Corpii A-Type Small Energy Nosferatu,47,57,1.361.867.440,,,,,,,
Tungsten Carbide Reaction Formula,30,89,1.358.022.389,,,,,,,
Mid-grade Harvest Gamma,3,3,1.357.639.225,,,,,,,
Experimental Hyperspatial Accelerator,75,136,1.357.386.379,,,,,,,
Information Command Mindlink,29,43,1.357.318.439,,,,,,,
Core A-Type 100MN Afterburner,3,3,1.356.972.925,,,,,,,
Radar-FTL Interlink Communicator,5,7,1.356.864.000,,,,,,,
Veldspar,2.407,257.923.916,1.355.616.976,,,,,,,
Small Tractor Beam II,261,483,1.355.423.748,,,,,,,
True Sansha Cap Recharger,35,47,1.352.971.831,,,,,,,
220mm Vulcan AutoCannon II,187,1.129,1.351.512.408,,,,,,,
Viral Agent,113,421.006,1.343.785.778,,,,,,,
Domination 800mm Repeating Cannon,6,12,1.343.523.652,,,,,,,
Standup Cyclops I,7,39,1.343.351.633,,,,,,,
Standup Siren I,14,50,1.343.257.056,,,,,,,
Chelm's Modified EM Energized Membrane,1,1,1.343.200.000,,,,,,,
Mid-grade Amulet Alpha,48,58,1.343.167.512,,,,,,,
Stellar Transmuter Datacore,8,399,1.342.934.757,,,,,,,
Talos Headhunter SKIN,1,1,1.339.500.000,,,,,,,
Guristas Control Tower,2,2,1.339.299.968,,,,,,,
Noctis Lodestrike SKIN,1,1,1.339.000.064,,,,,,,
50000MN Quad LiF Restrained Microwarpdrive,8,8,1.338.868.710,,,,,,,
Astero Friendship League SKIN,1,1,1.338.766.221,,,,,,,
Cormorant Deathglow Hunters SKIN,7,7,1.337.630.757,,,,,,,
Corpus A-Type Heavy Energy Neutralizer,9,10,1.337.173.105,,,,,,,
Medium Remote Repair Augmentor II,24,37,1.337.040.048,,,,,,,
Outpost Construction,12,12,1.336.788.662,,,,,,,
Inherent Implants 'Noble' Hull Upgrades HG-1004,9,11,1.336.513.600,,,,,,,
Process Decryptor,1.266,13.768,1.333.086.339,,,,,,,
Datacore - Caldari Starship Engineering,237,23.239,1.332.915.280,,,,,,,
Ikitursa Singularity Storm SKIN,1,1,1.332.412.089,,,,,,,
10000MN Monopropellant Enduring Afterburner,13,14,1.330.240.787,,,,,,,
Standup Shadow,5,23,1.330.071.880,,,,,,,
Water-Cooled CPU,65,254.891,1.327.678.989,,,,,,,
Dark Blood Cap Recharger,48,66,1.327.014.651,,,,,,,
Large Auxiliary Nano Pump I,87,151,1.326.921.581,,,,,,,
Silicate Glass,29,153.34,1.326.870.165,,,,,,,
Small Salvage Tackle II,48,144,1.326.425.510,,,,,,,
Equite I,18,266,1.325.867.780,,,,,,,
Low-grade Rapture Epsilon,5,5,1.323.844.712,,,,,,,
Zealot Sarum SKIN,38,56,1.323.359.498,,,,,,,
Fernite Carbide Composite Armor Plate,63,282.578,1.322.398.599,,,,,,,
Mid-grade Hydra Alpha,6,6,1.319.610.449,,,,,,,
Mystic L,90,447.872,1.319.326.053,,,,,,,
Coreli B-Type Multispectrum Coating,11,14,1.318.245.916,,,,,,,
Large Transverse Bulkhead I,43,112,1.318.180.250,,,,,,,
Caldari Navy Shield Boost Amplifier,17,19,1.312.286.775,,,,,,,
Exequror Combat Medic Section SKIN,19,22,1.310.883.134,,,,,,,
Small EM Shield Reinforcer II,539,1.107,1.310.538.368,,,,,,,
Compressed Glistening Bitumens,17,663.335,1.310.020.166,,,,,,,
Zainou 'Deadeye' Missile Bombardment MB-706,2,2,1.309.765.786,,,,,,,
Compressed Massive Scordite,162,118.067.624,1.309.324.372,,,,,,,
Standup Moon Drill I,16,19,1.305.770.958,,,,,,,
Rodiva,20,23,1.305.282.391,,,,,,,
Mobile Cynosural Beacon Blueprint,10,13,1.304.615.384,,,,,,,
100MN Analog Booster Afterburner,8,8,1.304.003.022,,,,,,,
Sleeper Profound Research Notes,13,15,1.303.208.085,,,,,,,
Wyvern Interstellar Convergence SKIN,2,3,1.302.812.520,,,,,,,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-904,12,14,1.301.124.186,,,,,,,
Medium Kinetic Armor Reinforcer II,49,67,1.300.765.361,,,,,,,
Apocalypse Triglavian Twilight SKIN,2,2,1.299.900.032,,,,,,,
Miasmos Amastris Edition,1,1,1.299.581.256,,,,,,,
Federation Navy Neutron Blaster Cannon,4,9,1.299.353.125,,,,,,,
Zainou 'Gypsy' Long Range Targeting LT-806,3,3,1.298.847.048,,,,,,,
Core B-Type 100MN Afterburner,5,5,1.298.647.504,,,,,,,
Raysere's Modified Heavy Capacitor Booster,1,1,1.297.000.021,,,,,,,
Synth Blue Pill Booster,117,617,1.296.617.114,,,,,,,
Dread Guristas Light Missile Launcher,13,20,1.295.802.506,,,,,,,
Compressed Fullerite-C28,41,345.634,1.295.139.937,,,,,,,
CONCORD Modified Cloaking Device,1,1,1.292.000.000,,,,,,,
Unstable Damage Control Mutaplasmid,7,8,1.291.801.726,,,,,,,
Unit F-435454's Modified Omnidirectional Tracking Link,1,1,1.290.422.243,,,,,,,
Stellar Transmuter Research Index File,6,25.211,1.290.328.324,,,,,,,
Drake Triglavian Twilight SKIN,3,3,1.290.000.000,,,,,,,
Kikimora Blackfire Steel SKIN,4,4,1.289.466.459,,,,,,,
Phalarica' Thermal Lance,1,1,1.288.386.495,,,,,,,
Optimized Augmentation Decryptor,291,687,1.287.664.312,,,,,,,
Medium Industrial Core I Blueprint,12,13,1.287.500.000,,,,,,,
Women's DED Cryptologic Technician Coat,1,1,1.287.000.032,,,,,,,
Zainou 'Snapshot' Cruise Missiles CM-606,2,2,1.286.689.775,,,,,,,
Unstable Capital Energy Neutralizer Mutaplasmid,1,1,1.285.479.200,,,,,,,
Rhea Ghostbird SKIN,1,1,1.284.999.936,,,,,,,
Whelan Machorin's Ballistic Smartlink,6,6,1.284.948.004,,,,,,,
Standup Firbolg II,9,60,1.284.820.880,,,,,,,
Tyrfing I,10,105,1.284.814.771,,,,,,,
Standup Research Lab I,7,7,1.284.104.816,,,,,,,
Zainou 'Beancounter' Research RR-605,9,10,1.281.135.255,,,,,,,
Zainou 'Snapshot' Torpedoes TD-605,8,10,1.280.854.731,,,,,,,
Barrage L,206,2.548.979,1.280.311.323,,,,,,,
Drekavac Eden's Hunters SKIN,1,1,1.280.000.000,,,,,,,
Small Capacitor Control Circuit II,320,614,1.279.803.929,,,,,,,
Men's 'Outlaw' Boots (Sansha's Nation),1,1,1.278.000.000,,,,,,,
Poteque 'Prospector' Astrometric Pinpointing AP-610,6,6,1.277.061.445,,,,,,,
Blood Control Tower,1,1,1.277.000.021,,,,,,,
Large Remote Armor Repairer II,153,489,1.276.727.876,,,,,,,
Men's 'SteelKnight TorsoRig' Body Augmentation,1,1,1.275.316.009,,,,,,,
Low-grade Asklepian Delta,12,12,1.274.716.217,,,,,,,
Pithi A-Type Small Remote Shield Booster,28,45,1.274.340.221,,,,,,,
Federation Navy Warp Scrambler,7,7,1.274.096.516,,,,,,,
Osprey Blueprint,9,10,1.273.555.581,,,,,,,
Brokara's Modified Large Armor Repairer,1,1,1.272.500.000,,,,,,,
Standup Layered Armor Plating II,5,6,1.271.921.136,,,,,,,
Raven Gilded Predator SKIN,2,2,1.271.245.705,,,,,,,
Trinary State Processor,104,92.712,1.269.549.472,,,,,,,
Praxis Tercio Rojo SKIN,1,1,1.269.333.355,,,,,,,
Centus X-Type Kinetic Armor Hardener,21,22,1.267.840.012,,,,,,,
Ares,73,92,1.267.253.763,,,,,,,
Brutix Blueprint,2,2,1.266.666.667,,,,,,,
Caldari Navy Nova Light Missile,568,1.907.705,1.265.048.400,,,,,,,
Medium Vorton Projector,25,36,1.257.795.020,,,,,,,
Inherent Implants 'Squire' Capacitor Emission Systems ES-705,6,7,1.256.869.952,,,,,,,
Large Mercoxit Compressor I,10,10,1.256.301.909,,,,,,,
Scourge Rage Torpedo,194,1.133.421,1.255.644.636,,,,,,,
Compressed Vermillion Mykoserocin,17,38.945,1.254.884.388,,,,,,,
Warden II,122,745,1.254.075.538,,,,,,,
Malediction Purity of the Throne SKIN,3,3,1.252.367.044,,,,,,,
Zero-Point Mass Entangler,43,134,1.252.023.645,,,,,,,
Standup L-Set Reprocessing Monitor I Blueprint,2,2,1.250.000.000,,,,,,,
Unit P-343554's Modified Drone Link Augmentor,1,1,1.250.000.000,,,,,,,
Structure EXERT Conduit Coupler Blueprint,6,6,1.250.000.000,,,,,,,
Medium Drone Mining Augmentor II,77,153,1.247.496.382,,,,,,,
Men's Rubedo Richesse Jacket,3,3,1.246.115.987,,,,,,,
Caldari Navy Commodore Insignia I,139,3.825,1.245.738.324,,,,,,,
Fertilizer,57,252.499,1.245.693.191,,,,,,,
Recon Ships,31,37,1.244.177.207,,,,,,,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-703,59,94,1.243.884.337,,,,,,,
Compressed Crimson Arkonor,23,484.093,1.242.124.043,,,,,,,
Dark Blood Heavy Capacitor Booster,39,46,1.240.158.643,,,,,,,
Compressed Viridian Mykoserocin,18,64.443,1.240.022.911,,,,,,,
Compressed Vitreous Mercoxit,16,22.862,1.239.954.776,,,,,,,
Gistii A-Type 5MN Microwarpdrive,23,25,1.239.427.041,,,,,,,
Bhaalgorn Ironblood SKIN,48,70,1.239.158.184,,,,,,,
Paladin Star Captain SKIN,5,5,1.238.024.000,,,,,,,
Rupture,80,122,1.236.609.232,,,,,,,
Gila Abyssal Thunderstorm SKIN,1,1,1.233.999.968,,,,,,,
Draclira's Modified Large Armor Repairer,1,1,1.232.999.936,,,,,,,
Electron Bomb Blueprint,5,8,1.232.183.334,,,,,,,
Capital Semiconductor Memory Cell II,2,3,1.232.054.661,,,,,,,
Compressed Kernite,66,4.584.067,1.231.671.140,,,,,,,
CONCORD Colonel Emblem,20,1.522,1.230.590.450,,,,,,,
Pirate Detection Array 2,6,7,1.229.498.610,,,,,,,
Vigor Compact Micro Auxiliary Power Core,190,466,1.229.458.713,,,,,,,
Structure Mission Network Blueprint,6,6,1.228.571.428,,,,,,,
Poteque 'Prospector' Astrometric Pinpointing AP-606,41,58,1.227.310.750,,,,,,,
Domination Control Tower Small,2,2,1.227.056.236,,,,,,,
Small Focused Pulse Laser II,367,2.587,1.226.191.524,,,,,,,
Wild' Miner I,6,8,1.224.141.660,,,,,,,
Legion Awakening YC125 SKIN,2,2,1.222.600.032,,,,,,,
Strong Sooth Sayer Booster Reaction Formula,1,1,1.222.199.977,,,,,,,
Low-grade Virtue Epsilon,4,4,1.221.723.276,,,,,,,
Mid-grade Hydra Beta,5,5,1.220.825.282,,,,,,,
Thukker Small Cap Battery,58,100,1.219.043.899,,,,,,,
Fierce Exotic Filament,335,1.212,1.217.934.323,,,,,,,
1MN Afterburner II,797,1.424,1.217.560.239,,,,,,,
Capital Gas Compressor I Blueprint,1,1,1.216.999.936,,,,,,,
Capital Moon Ore Compressor I Blueprint,1,1,1.216.999.936,,,,,,,
Brutix Federal Police SKIN,2,2,1.215.300.000,,,,,,,
Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency I,2,2,1.214.512.266,,,,,,,
Nanofiber Internal Structure II,2.532,9.342,1.214.020.510,,,,,,,
Cerberus Dragon Phoenix SKIN,2,2,1.212.538.544,,,,,,,
Crystalline Carbonide Armor Plate,84,285.809,1.212.263.736,,,,,,,
Electrolytic Capacitor Unit,32,33.522,1.210.566.463,,,,,,,
Standup M-Set Hybrid Reactor Material Efficiency I,2,2,1.208.285.138,,,,,,,
Batch Compressed Dazzling Spodumain,3,586,1.207.828.588,,,,,,,
Medium Thermal Shield Reinforcer II,271,476,1.207.807.116,,,,,,,
Mystic S,290,1.226.768,1.207.663.877,,,,,,,
Brutix Navy Issue Intaki Syndicate SKIN,1,1,1.204.700.021,,,,,,,
Dread Guristas Rapid Heavy Missile Launcher,25,43,1.203.741.730,,,,,,,
Pithum A-Type Thermal Shield Amplifier,64,79,1.203.585.859,,,,,,,
25000mm Steel Plates I,21,35,1.202.533.908,,,,,,,
Tuvan's Modified Tracking Computer,1,1,1.200.333.355,,,,,,,
Structure Docking Bay Blueprint,6,6,1.200.000.000,,,,,,,
Jump Bridge,3,6,1.200.000.000,,,,,,,
Medium Gas Compressor I Blueprint,4,4,1.200.000.000,,,,,,,
Capital Shield Extender I,20,34,1.198.653.079,,,,,,,
Amarr Control Tower Medium,4,4,1.198.033.330,,,,,,,
Monitor Firewatch SKIN,1,1,1.198.000.000,,,,,,,
Nestor SOE Blue Cell,1,1,1.198.000.000,,,,,,,
Medium Industrial Core I,56,73,1.196.595.802,,,,,,,
Azmaru' Electromagnetic Disruptive Lance,3,3,1.195.354.998,,,,,,,
Charon Copper Lightning SKIN,1,1,1.194.000.032,,,,,,,
Proteus Kopis Edge SKIN,1,1,1.194.000.000,,,,,,,
Caldari Navy Nova Heavy Missile,336,1.742.208,1.192.845.736,,,,,,,
Gas Cloud Harvester I,103,249,1.192.248.814,,,,,,,
Nyx InterBus SKIN,1,1,1.190.000.000,,,,,,,
Mid-grade Virtue Alpha,21,27,1.189.801.618,,,,,,,
Iron Pike' Kinetic Lance,1,1,1.188.000.000,,,,,,,
Warhammer' Large EMP Smartbomb I,10,12,1.187.482.202,,,,,,,
Inherent Implants 'Squire' Power Grid Management EG-602,104,205,1.186.807.714,,,,,,,
XL Torpedo Launcher I,10,16,1.186.116.952,,,,,,,
Centii A-Type Small Remote Armor Repairer,57,99,1.185.866.121,,,,,,,
Black Market 'Valdimar' Repair Drone Operation DR-905,2,2,1.184.300.000,,,,,,,
Raptor Steel Cardinal SKIN,1,1,1.181.460.000,,,,,,,
Panther Fireblade Guerilla SKIN,1,1,1.180.745.460,,,,,,,
Women's 'Hover' Tights (opaque blue),1,1,1.179.000.064,,,,,,,
Mid-grade Snake Beta,23,26,1.178.912.324,,,,,,,
Gistii B-Type Small Shield Booster,11,12,1.178.814.116,,,,,,,
Capital Gremlin Compact Energy Neutralizer,8,10,1.178.490.160,,,,,,,
Blackbird Blueprint,10,11,1.177.162.857,,,,,,,
Eifyr and Co. 'Rogue' Navigation NN-603,36,72,1.176.440.590,,,,,,,
Standup M-Set Energy Neutralizer Economy II,2,2,1.175.819.834,,,,,,,
Standup M-Set Electronic Warfare Economy I,4,4,1.175.259.146,,,,,,,
Nemesis Malagrin Marshlight SKIN,1,1,1.175.000.000,,,,,,,
Imperial Navy Acolyte,244,1.449,1.174.268.771,,,,,,,
Federation Navy Sensor Booster,12,12,1.173.983.491,,,,,,,
Celestis Blueprint,6,7,1.173.361.912,,,,,,,
High-grade Mimesis Alpha,4,5,1.172.021.248,,,,,,,
Mid-grade Ascendancy Delta,8,8,1.169.489.846,,,,,,,
Capital Remote Armor Repairer I,24,40,1.169.204.791,,,,,,,
Brokara's Modified Heavy Capacitor Booster,1,1,1.168.999.936,,,,,,,
Zorya's Light Entropic Disintegrator,2,2,1.168.941.170,,,,,,,
Cruor Vampire's Hex SKIN,1,1,1.168.499.968,,,,,,,
Mid-grade Ascendancy Gamma,8,9,1.167.812.517,,,,,,,
Domination Heavy Missile Launcher,8,11,1.166.854.902,,,,,,,
Standup Heavy Energy Neutralizer I Blueprint,2,3,1.166.666.666,,,,,,,
Zainou 'Deadeye' Guided Missile Precision GP-803,54,87,1.166.547.918,,,,,,,
Gallente Control Tower Small,7,8,1.165.704.168,,,,,,,
Inherent Implants 'Lancer' Gunnery RF-903,46,75,1.164.948.458,,,,,,,
Mystic M,235,832.55,1.162.863.890,,,,,,,
Imperial Navy Curator,97,637,1.162.415.798,,,,,,,
Jackdaw GalNet StreamCast Unit SKIN,8,8,1.162.297.792,,,,,,,
Biofuels,125,5.708.096,1.161.863.036,,,,,,,
Templar I Blueprint,5,5,1.161.707.827,,,,,,,
Brokara's Modified Cap Recharger,1,1,1.161.249.984,,,,,,,
Echelon,18,21,1.161.121.556,,,,,,,
Heavy Warp Disruptor II,10,12,1.160.922.332,,,,,,,
Capital EM Shield Reinforcer II,20,24,1.160.340.245,,,,,,,
Standup Gram II,7,35,1.158.588.589,,,,,,,
ML-EKP 'Polybolos' Ballistic Control System,20,26,1.158.266.284,,,,,,,
Mizuro's Modified 500MN Microwarpdrive,1,1,1.158.000.000,,,,,,,
Improved Exile Booster,84,220,1.157.058.343,,,,,,,
X-Large Ship Maintenance Array,1,1,1.154.957.002,,,,,,,
BlastShot Condenser Pack L,18,52.561,1.154.596.662,,,,,,,
Ishkur,37,47,1.153.785.154,,,,,,,
Photonic Metamaterials Reaction Formula,29,74,1.152.909.962,,,,,,,
Datacore - Rocket Science,276,22.631,1.150.190.113,,,,,,,
Standup Ballistic Control System II,9,10,1.149.901.012,,,,,,,
Women's Kimotoro Eskeitan Commander's Pants,1,1,1.149.725.008,,,,,,,
5MN Y-T8 Compact Microwarpdrive,2.83,7.995,1.149.611.931,,,,,,,
500MN Microwarpdrive II,110,142,1.149.249.457,,,,,,,
Capital Core Defense Field Extender I,25,76,1.148.086.971,,,,,,,
Datacore - Amarrian Starship Engineering,719,31.186,1.145.956.448,,,,,,,
Brutix Cordite Blossom SKIN,3,3,1.144.099.968,,,,,,,
True Sansha Control Tower Small,3,3,1.143.766.656,,,,,,,
Thunderchild Bluestar Defenders SKIN,3,3,1.143.168.766,,,,,,,
Mid-grade Mimesis Delta,4,4,1.142.948.861,,,,,,,
Ametat I Blueprint,4,4,1.141.781.627,,,,,,,
Concussion Bomb Blueprint,4,4,1.141.507.143,,,,,,,
Large Rudimentary Concussion Bomb I,289,2.077,1.141.052.939,,,,,,,
Catalyst Navy Issue Heartsurge SKIN,1,1,1.140.000.000,,,,,,,
