Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Datacore - Molecular Engineering,336,31.4,1.990.828.419,
Caldari Navy Mjolnir Heavy Missile,458,2.748.232,1.990.303.037,
Minmatar Control Tower,4,4,1.990.041.659,
Standup Point Defense Battery I Blueprint,2,2,1.990.000.000,
Heavy Fighters,16,19,1.989.738.886,
Electronic Parts,323,3.492.291,1.988.804.485,
Federation Navy 500MN Microwarpdrive,14,17,1.986.011.378,
Dread Guristas Heavy Assault Missile Launcher,15,38,1.985.403.505,
Black Ops,24,29,1.985.309.465,
Unstable Large Ancillary Shield Booster Mutaplasmid,13,26,1.984.666.151,
Golem Ghostbird SKIN,2,2,1.983.600.021,
High-grade Snake Alpha,9,9,1.983.009.928,
Water,394,10.960.085,1.982.888.829,
Republic Fleet 800mm Repeating Cannon,10,19,1.981.714.678,
High-grade Snake Beta,9,10,1.981.676.788,
Federation Navy Command Mindlink,5,6,1.976.837.021,
Inherent Implants 'Squire' Capacitor Systems Operation EO-606,3,3,1.975.153.543,
Standup M-Set Ammunition Manufacturing Material Efficiency I,2,2,1.974.220.032,
Caldari Navy Mjolnir Torpedo,181,930.576,1.972.808.485,
Structure Storage Bay Blueprint,9,9,1.972.421.875,
Shadow Serpentis Assault Damage Control,40,45,1.971.175.811,
Capital Flex Armor Hardener II,14,16,1.970.674.387,
Eagle State Police SKIN,1,1,1.970.000.000,
Hecate Heartsurge SKIN,1,1,1.970.000.000,
Fullerite-C50,139,643.321,1.968.355.064,
Unstable Heavy Energy Neutralizer Mutaplasmid,23,27,1.967.676.874,
Fierce Gamma Filament,316,1.155,1.967.244.720,
Jump Portal Generation,21,24,1.966.349.236,
True Sansha Control Tower,1,1,1.965.152.795,
Republic Fleet 425mm Autocannon,4,6,1.962.539.462,
Inherent Implants 'Noble' Remote Armor Repair Systems RA-705,8,12,1.961.324.623,
Zainou 'Beancounter' Metallurgy MY-705,10,12,1.958.719.629,
Basic 'Brainfreeze' Cerebral Accelerator,878,4.158,1.958.688.970,
Osprey,151,208,1.958.665.801,
Synth Mindflood Booster,250,1.269,1.958.413.363,
Minmatar Control Tower Small,11,12,1.958.274.550,
Hel Chainbreaker Khumaak SKIN,1,1,1.956.999.936,
Medium Scoped Vorton Projector,4,4,1.956.203.785,
Standup Ballistic Control System II,12,14,1.955.362.937,
Estamel's Modified Co-Processor,2,2,1.953.400.064,
Marshal Firewatch SKIN,1,1,1.951.000.064,
Kronos Heartsurge SKIN,2,2,1.947.900.024,
Test Cultures,142,537.825,1.947.263.686,
True Sansha Large Armor Repairer,37,42,1.945.859.445,
Standup M-Set Composite Reactor Time Efficiency II,1,1,1.944.500.032,
Standup M-Set Hybrid Reactor Time Efficiency II,1,1,1.944.500.032,
Praxis Tercio Rojo SKIN,1,1,1.943.500.032,
Ragnarok Shakim Warlord SKIN,1,1,1.943.000.000,
Tairei's Modified Heavy Energy Neutralizer,1,1,1.942.666.695,
Gist A-Type Shield Boost Amplifier,7,8,1.942.126.322,
Exigent Heavy Drone Firepower Mutaplasmid,41,177,1.939.612.338,
Berserker II,185,1.722,1.939.229.213,
Panther Yoiul Star SKIN,1,1,1.938.000.000,
Hyperion Federal Police SKIN,1,1,1.935.200.026,
Orca Guristas Industrial Livery SKIN,2,2,1.932.787.488,
Thukker Medium Cap Battery,42,57,1.932.344.328,
Loki Dawn of Liberation SKIN,1,1,1.927.777.792,
Compressed Dark Ochre,30,617.551,1.927.575.500,
Cormorant Navy Issue,61,86,1.926.566.621,
Mid-grade Ascendancy Epsilon,9,10,1.924.265.368,
Multispectrum Energized Membrane II,1.289,3.032,1.923.847.395,
Dread Guristas Warp Scrambler,75,137,1.915.391.914,
Jaguar,63,93,1.906.271.964,
Large Industrial Core I,47,51,1.905.511.621,
Ladar-FTL Interlink Communicator,5,9,1.905.308.839,
Axosomatic Neurolink Enhancer,22,6.647,1.904.160.321,
Unit F-435454's Modified Omnidirectional Tracking Link,2,2,1.902.599.936,
Warhammer' Large EMP Smartbomb I,10,15,1.902.493.313,
Typhoon Fleet Issue Chainbreaker Khumaak SKIN,1,1,1.900.999.936,
Mobile Cynosural Beacon Blueprint,11,15,1.900.440.136,
Ishtar Green Demons SKIN,1,1,1.900.000.000,
Nidhoggur Bloody Hands SKIN,1,1,1.900.000.000,
Caldari Navy Mjolnir Light Missile,540,1.746.426,1.899.471.377,
Bustard Vitalshift EGO SKIN,1,1,1.899.000.064,
Standard Drop Booster,134,805,1.898.446.068,
Scythe Fleet Issue,35,42,1.898.068.307,
Standup M-Set ME Research Cost Optimization II,1,1,1.896.999.936,
Gnosis Zakura Shumyu SKIN,1,1,1.896.999.936,
Gila Abyssal Darkfield SKIN,1,1,1.896.250.016,
Centum A-Type Kinetic Energized Membrane,25,30,1.896.092.968,
Antibiotics,236,4.116.658,1.895.002.402,
Draclira's Modified Explosive Armor Hardener,1,1,1.895.000.064,
"SPZ-3 ""Torch"" Laser Sight Combat Ocular Enhancer (right/black)",3,3,1.893.211.350,
Compressed Magma Mercoxit,12,35.372,1.891.819.494,
Command Ships,24,28,1.891.677.166,
ORE Deep Core Mining Laser,9,11,1.891.357.328,
Medium Semiconductor Memory Cell II,78,114,1.890.788.832,
Minmatar Control Tower Medium,4,5,1.881.093.301,
Capital Cargohold Optimization II,3,4,1.880.152.981,
500MN Y-T8 Compact Microwarpdrive,653,3.742,1.878.112.869,
Zainou 'Deadeye' Large Hybrid Turret LH-1005,11,12,1.874.715.336,
Porpoise GalNet StreamCast Unit SKIN,12,15,1.873.726.380,
Imperial Navy Command Mindlink,5,6,1.872.391.248,
Eagle Kimotoro Eskeitan SKIN,1,1,1.871.000.064,
Neurotoxin Recovery,48,58,1.869.543.932,
Large EM Shield Reinforcer II,91,135,1.869.411.289,
Medium Industrial Core I Blueprint,16,20,1.867.857.143,
Inherent Implants 'Highwall' Mining MX-1003,66,142,1.867.063.229,
Structure Reprocessing Plant Blueprint,9,9,1.866.666.667,
Tengu Union Day Executive SKIN,3,3,1.865.548.618,
Women's Amarr Empire Command Jacket,1,1,1.864.999.936,
Caldari Navy Warden,90,567,1.864.461.736,
Tengu Defensive - Supplemental Screening,32,39,1.864.091.131,
CONCORD XL Cruise Missile Launcher,3,5,1.863.065.628,
Estamel's Modified Thermal Shield Hardener,1,1,1.860.000.000,
Mid-grade Asklepian Beta,38,42,1.858.703.608,
Gist B-Type Large Shield Booster,7,7,1.854.810.726,
Leshak Blackfire Steel SKIN,2,2,1.854.409.906,
Capital Ancillary Shield Booster,11,13,1.853.147.429,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-903,101,156,1.852.704.287,
Gas Cloud Scoop II,218,617,1.851.693.691,
Mid-grade Rapture Omega,3,3,1.851.155.003,
Brokara's Modified Multispectrum Energized Membrane,2,2,1.850.000.000,
Whelan Machorin's Ballistic Smartlink,5,5,1.848.001.885,
500MN Quad LiF Restrained Microwarpdrive,603,3.658,1.846.953.818,
Biomass,100,6.775.014,1.842.882.459,
Fullerite-C60,144,713.505,1.841.211.120,
Odin Synthetic Eye (left/gold),2,2,1.837.155.555,
Heat Sink II,834,3.497,1.836.420.237,
Dread Guristas Rapid Heavy Missile Launcher,19,37,1.835.980.761,
Neo Mercurite,17,53.001,1.835.004.242,
Sleipnir Tronhadar Ink SKIN,1,1,1.835.000.064,
Triage Module II,13,15,1.834.315.788,
Standup Firbolg I,16,159,1.834.264.390,
Radical' Damage Control,16,17,1.830.934.949,
Poteque 'Prospector' Astrometric Pinpointing AP-610,8,9,1.827.971.934,
Mid-grade Asklepian Alpha,36,42,1.824.639.084,
Shadow Serpentis 250mm Railgun,14,27,1.821.409.535,
Federation Navy Comet,116,220,1.817.765.679,
Datacore - Nanite Engineering,391,35.243,1.817.709.871,
Standup Hyasyoda Research Lab,6,6,1.817.486.519,
Mutated Drone Specialization,23,29,1.817.301.984,
Oxy-Organic Solvents,22,4.001,1.816.318.597,
Capsule Capsuleer Elite XX SKIN,2,2,1.813.866.309,
Zainou 'Snapshot' Heavy Missiles HM-705,10,11,1.813.466.963,
Caldari Navy Inferno Heavy Missile,343,1.670.353,1.811.549.441,
Light Missile Launcher II,658,3.538,1.811.542.608,
Men's 'Olympian TorsoRig' Body Augmentation,13,13,1.810.049.936,
Medium Disintegrator Specialization,85,103,1.809.230.015,
Structure Repair Facility Blueprint,9,9,1.807.654.321,
Mid-grade Amulet Beta,44,54,1.805.659.923,
Gallente Control Tower,5,5,1.805.508.804,
Covert Jump Portal Generator I Blueprint,3,4,1.805.459.040,
Compressed Triclinic Bistot,11,477.463,1.804.618.382,
Mid-grade Snake Beta,22,31,1.802.337.228,
Standard Blue Pill Booster,251,1.635,1.802.269.108,
720mm Howitzer Artillery II,171,1.342,1.801.585.114,
Vargur Yoiul Star SKIN,10,10,1.800.000.000,
Panther Bloody Hands SKIN,1,1,1.800.000.000,
Hurricane Sebiestor SKIN,1,1,1.800.000.000,
Kaikka's Modified Cloaking Device,1,1,1.800.000.000,
Inherent Implants 'Highwall' Mining Upgrades MU-1005,9,11,1.797.107.551,
Minmatar Dreadnought,7,11,1.796.682.889,
Zainou 'Gypsy' Long Range Targeting LT-806,3,3,1.796.190.000,
Standup M-Set Thukker Advanced Component Manufacturing Material Efficiency,2,2,1.795.800.064,
Standup M-Set Thukker Basic Capital Component Manufacturing Material Efficiency,2,2,1.795.700.032,
Clone Vat Bay I Blueprint,3,3,1.794.986.496,
Mid-grade Harvest Alpha,9,9,1.794.752.229,
Large Kinetic Armor Reinforcer II,9,10,1.792.961.346,
Hornet II,780,5.95,1.792.590.015,
Kronos Federal Police SKIN,2,2,1.792.500.020,
Dark Blood Medium Armor Repairer,15,18,1.792.444.112,
Zirnitra Blackfire Steel SKIN,1,1,1.792.285.004,
Dread Guristas XL Cruise Missile Launcher,4,5,1.791.787.464,
Osprey Navy Issue Vitalshift EGO SKIN,1,1,1.789.499.968,
14th Tier Overseer's Personal Effects,288,1.342,1.789.443.049,
Vargur Bloody Hands SKIN,1,1,1.788.499.968,
Industrial Command Ships,30,32,1.788.245.208,
Strong Mindflood Booster,49,107,1.787.801.416,
Small Disintegrator Specialization,124,162,1.785.358.456,
Information Command Mindlink,29,45,1.784.804.484,
Standup M-Set Structure Manufacturing Material Efficiency I,2,2,1.783.544.059,
Dread Guristas Control Tower,2,2,1.783.285.725,
Small Auxiliary Nano Pump II,144,206,1.779.973.429,
Mid-grade Centurion Omega,1,1,1.779.531.280,
Ishtar Zydrine Burn SKIN,2,2,1.779.282.721,
Kaikka's Modified Multispectrum Shield Hardener,1,1,1.779.000.064,
Miasmos Quafe Ultra Edition,1,1,1.778.000.000,
Kaikka's Modified 425mm Railgun,2,2,1.776.899.968,
Centus X-Type Explosive Armor Hardener,16,17,1.776.622.400,
50000MN Microwarpdrive II,7,7,1.773.987.809,
Capital Construction Parts,33,205,1.773.079.738,
High-grade Mimesis Gamma,5,5,1.771.383.240,
Pith A-Type Shield Boost Amplifier,13,13,1.770.258.960,
Dominix Federal Police SKIN,1,1,1.769.499.968,
Mid-grade Nomad Beta,9,12,1.766.593.148,
True Sansha Medium Armor Repairer,24,25,1.766.036.540,
Republic Fleet Phased Plasma L,167,1.598.241,1.764.609.357,
Kronos Caille Neon SKIN,10,10,1.760.999.936,
Paladin Lavacore Imperial SKIN,2,2,1.760.000.000,
Hyperion Blueprint,1,1,1.760.000.000,
Jump Portal Generator I Blueprint,3,4,1.758.973.425,
Chiral Structures,128,5.512.988,1.758.189.195,
Einherji II,16,163,1.756.622.102,
Dread Guristas Rapid Torpedo Launcher,2,2,1.755.700.683,
Legion Propulsion - Wake Limiter,32,38,1.755.501.406,
Structure Electromagnetic Sensor Blueprint,8,8,1.754.545.454,
Cap Booster 3200,175,32.537,1.751.894.538,
Occult M,239,977.985,1.747.536.929,
Synthetic Oil,85,381.155,1.746.144.507,
Mobile Depot,679,1.228,1.746.112.761,
Unstable Warp Disruptor Mutaplasmid,55,88,1.746.097.784,
Vexor Blueprint,10,18,1.746.078.657,
Corelum B-Type Medium Remote Armor Repairer,18,25,1.745.319.140,
Caldari Control Tower Medium,6,7,1.741.097.077,
Federation Navy Hobgoblin,231,1.453,1.740.159.365,
Standup M-Set Advanced Small Ship Manufacturing Time Efficiency I,2,2,1.738.000.000,
Datacore - Laser Physics,442,34.76,1.736.145.649,
Domination Ballistic Control System,28,44,1.735.274.105,
Legion Propulsion - Intercalated Nanofibers,44,52,1.735.255.158,
Caldari Navy Hornet,374,2.184,1.735.071.433,
Small Ancillary Current Router II,314,611,1.732.976.059,
Skybreaker,14,15,1.732.941.489,
Improved Blue Pill Booster,96,517,1.732.741.715,
Gistii A-Type 1MN Afterburner,24,28,1.732.049.415,
Occult L,107,694.896,1.729.042.047,
Quafe Zero Green Apple,46,99,1.728.524.208,
Exhumers,44,56,1.726.718.135,
AEGIS Covert Operations Reports,8,198,1.726.669.898,
Zainou 'Snapshot' Heavy Missiles HM-706,3,3,1.726.012.241,
Zainou 'Gnome' Shield Management SM-703,70,100,1.723.573.895,
Poteque 'Prospector' Astrometric Rangefinding AR-806,51,74,1.722.992.678,
Compressed Viridian Mykoserocin,16,36.678,1.719.961.800,
Nemesis,66,89,1.718.104.753,
InterBus Shuttle,1,1,1.717.374.992,
Machariel Angel's Hex SKIN,2,2,1.716.162.512,
Republic Fleet EMP M,389,2.687.066,1.712.498.661,
Gist A-Type 100MN Afterburner,7,7,1.711.022.498,
500MN Cold-Gas Enduring Microwarpdrive,491,3.663,1.707.376.771,
Gas Cloud Harvester II,107,297,1.706.570.863,
Eifyr and Co. 'Rogue' High Speed Maneuvering HS-905,11,12,1.703.954.568,
Datacore - Mechanical Engineering,735,50.284,1.703.787.481,
Thanatos Green Demons SKIN,2,2,1.700.000.000,
True Sansha Capital Energy Nosferatu,2,2,1.699.200.000,
Capital Transverse Bulkhead I,12,22,1.699.053.095,
Tempest Fleet Issue Chainbreaker Khumaak SKIN,1,1,1.699.000.064,
Standup M-Set TE Research Accelerator II,1,1,1.698.000.000,
Noctis Eden's Hunters SKIN,3,3,1.697.586.944,
Capital Warhead Rigor Catalyst II,4,5,1.696.132.506,
Electron Bomb Blueprint,6,7,1.694.957.576,
Women's Albedo Affluence Jacket,8,8,1.694.877.500,
Women's 'Sparkgap' Facial Augmentation,1,1,1.694.000.000,
Augmented' Wasp,17,55,1.693.549.093,
Arbalest' Heavy Missile Launcher,406,1.587,1.692.952.842,
Zainou 'Gypsy' Signature Analysis SA-705,8,8,1.692.868.146,
Core C-Type 100MN Afterburner,8,8,1.692.448.097,
Sleeper Profound Research Notes,17,20,1.691.897.721,
Centum C-Type Medium Remote Armor Repairer,35,56,1.690.964.756,
Mantis II,11,65,1.690.205.972,
Centus X-Type Thermal Armor Hardener,14,15,1.687.816.294,
Kikimora Red Meatgrinder SKIN,1,1,1.687.000.021,
Thukker Small Cap Battery,54,91,1.686.680.326,
Capital Shield Booster I,16,18,1.686.315.315,
Shadow Serpentis Heavy Warp Disruptor,1,1,1.684.999.936,
Core X-Type Thermal Armor Hardener,16,19,1.683.831.900,
Brokara's Modified Heavy Energy Neutralizer,1,1,1.682.444.515,
Capital Clone Vat Bay,9,80,1.679.993.739,
Standup Research Lab I,8,8,1.679.802.362,
Golem Octopus Red Flight SKIN,1,1,1.678.000.000,
Capital Moon Ore Compressor I,7,7,1.677.682.175,
Dread Guristas Cloaking Device,34,41,1.677.395.118,
Imperial Navy Capacitor Power Relay,19,24,1.676.858.782,
Phoenix Navy Issue Union Day Executive SKIN,1,1,1.676.714.835,
Heron Navy Issue,51,70,1.675.869.689,
Ragnarok Interstellar Convergence SKIN,1,1,1.675.000.000,
Brokara's Modified Capacitor Power Relay,2,3,1.671.288.889,
True Sansha Capital Shield Extender,4,4,1.671.156.240,
CreoDron 'Bumblebee' Drone Tuner T10-5D,3,3,1.670.400.000,
Ferox State Police SKIN,1,1,1.669.666.688,
Bacteria,160,8.476.074,1.668.254.113,
Electrolytes,114,6.642.905,1.665.022.651,
Centus A-Type Large Armor Repairer,3,3,1.664.782.289,
Unstable 10MN Afterburner Mutaplasmid,24,36,1.660.259.722,
Inquest 'Eros' Stasis Webifier MR-805,3,3,1.658.891.540,
Confessor Yoiul Star SKIN,1,1,1.658.000.043,
Hurricane Fleet Issue Chainbreaker Khumaak SKIN,1,1,1.658.000.000,
Compressed Fullerite-C320,27,171.909,1.657.752.517,
Security Connections,65,81,1.657.743.451,
Compressed Vitreous Mercoxit,9,30.578,1.657.028.361,
250mm Railgun II,296,1.981,1.656.599.209,
Unit D-34343's Modified Burst Jammer,1,1,1.656.569.450,
Reactive Metals,164,7.992.955,1.656.434.265,
Standup M-Set Ammunition Manufacturing Time Efficiency I,2,2,1.655.566.656,
Eifyr and Co. 'Rogue' Navigation NN-605,11,16,1.654.879.639,
Proteus Core - Friction Extension Processor,37,41,1.654.799.004,
Capital Titanium Diborite Armor Plate,3,850,1.653.681.750,
Strong Crash Booster Reaction Formula,2,2,1.652.568.008,
Dread Guristas Stasis Webifier,44,54,1.652.320.892,
Small Tractor Beam II,279,524,1.649.993.043,
True Sansha Dual Giga Beam Laser,4,4,1.649.841.648,
Imperial Navy Major Insignia I,160,2.685,1.648.281.100,
Compressed Prismatic Gneiss,29,999.066,1.647.663.464,
Tachyon Beam Laser II,58,277,1.646.997.364,
Scourge Fury Heavy Missile,491,4.181.767,1.645.765.794,
Sentient Drone Navigation Computer,43,60,1.645.625.429,
Garmur Convergence - Nova SKIN,1,1,1.644.999.936,
Pith B-Type Shield Boost Amplifier,14,14,1.643.674.776,
Cloning Facility Operation,13,13,1.639.394.821,
Covert Jump Portal Generator I,39,45,1.638.083.027,
Caldari Freighter,16,20,1.637.095.257,
Hypnagogic Neurolink Enhancer,19,4.51,1.636.488.461,
Compressed Condensed Scordite,172,187.795.281,1.636.293.446,
Legion Offensive - Liquid Crystal Magnifiers,39,46,1.632.367.919,
Caldari Navy Scourge Heavy Assault Missile,274,1.898.471,1.632.185.532,
Vorton Power Amplification,24,37,1.632.037.461,
Tungsten Carbide Reaction Formula,34,95,1.627.221.745,
Caldari Navy Large Shield Booster,11,11,1.627.218.212,
Domination Shield Boost Amplifier,20,20,1.626.860.217,
Reinforced Carbon Fiber Reaction Formula,45,139,1.626.196.250,
Federation Navy Neutron Blaster Cannon,4,10,1.622.349.918,
Heavy Gunnar Compact Stasis Grappler,408,2.437,1.622.327.458,
Miasmos Amastris Edition,2,2,1.622.289.815,
Capital Drone Bay,14,196,1.621.910.804,
Low-grade Virtue Omega,4,4,1.620.041.179,
High-grade Halo Epsilon,4,4,1.617.960.955,
Stork Kimotoro Eskeitan Commander SKIN,1,1,1.616.999.936,
Expanded Cargohold II,1.682,7.431,1.616.470.556,
Hermetic Membranes,43,19.567,1.616.424.640,
Sentient Omnidirectional Tracking Link,37,56,1.616.349.717,
Termite II,5,42,1.614.689.996,
Stasis Webifier II,1.084,2.768,1.614.065.734,
Unstable 5MN Microwarpdrive Mutaplasmid,29,40,1.613.342.884,
CONCORD Dual Giga Pulse Laser,2,4,1.612.585.950,
Capital Shield Booster II,7,8,1.612.088.126,
Men's Ishukone Crew Jacket,1,1,1.612.000.000,
ML-EKP 'Polybolos' Ballistic Control System,22,44,1.610.136.249,
Unstable 50MN Microwarpdrive Mutaplasmid,21,28,1.609.980.584,
Siege Module I,12,16,1.607.319.499,
Small Tractor Beam I,345,738,1.607.293.517,
Tuvan's Modified 100MN Afterburner,1,1,1.607.000.064,
Ward Console,862,109.141,1.603.812.995,
Rorqual Capsuleer Elite XIX SKIN,2,2,1.603.499.968,
Page' Capacitor Flux Coil I,9,14,1.602.827.549,
Low-grade Nomad Epsilon,3,3,1.602.415.839,
Zainou 'Snapshot' Heavy Assault Missiles AM-705,16,16,1.602.098.768,
Large Asteroid Ore Compressor I,58,65,1.600.658.883,
Thon's Modified X-Large Shield Booster,2,2,1.600.440.013,
Augmented' Hobgoblin,97,508,1.600.244.237,
Zephyr,12,13,1.598.327.072,
Standup M-Set Invention Accelerator II,1,1,1.591.666.688,
Corpum A-Type Kinetic Energized Membrane,45,61,1.591.653.017,
Republic Fleet Large Proton Smartbomb,5,7,1.591.050.771,
Lanthanum Metallofullerene,94,130.313,1.590.937.257,
Raven Gilded Predator SKIN,2,2,1.590.416.675,
Dread Guristas 250mm Railgun,10,25,1.588.082.947,
Core A-Type Large Armor Repairer,7,7,1.587.705.706,
Black Market 'Valdimar' Drone Navigation DN-703,4,5,1.585.441.808,
Dread Guristas Large Graviton Smartbomb,16,28,1.583.993.028,
Medium Core Defense Field Extender I,941,3.471,1.581.218.342,
Kaikka's Modified 350mm Railgun,1,1,1.578.285.728,
Flycatcher Malagrin Marshlight SKIN,8,16,1.578.125.667,
Capital Infectious Scoped Energy Neutralizer,18,25,1.576.270.470,
Draclira's Modified EM Armor Hardener,1,1,1.576.000.000,
Mining Laser Upgrade II,926,2.841,1.575.253.955,
Mid-grade Virtue Alpha,20,22,1.574.408.539,
Gist C-Type Shield Boost Amplifier,11,12,1.573.903.311,
Standup Invention Lab I,7,8,1.573.682.658,
Dragonfly I,26,354,1.572.898.972,
Vepas' Modified X-Large Shield Booster,1,1,1.572.000.000,
Capital Drone Mining Augmentor II,5,7,1.570.714.554,
Synth Blue Pill Booster,114,813,1.570.444.656,
Advanced Logistics Network,2,3,1.570.420.503,
Tracking Computer II,648,1.634,1.569.878.442,
Sensor Booster II,886,2.625,1.567.360.668,
Vepas' Modified Multispectral ECM,2,2,1.566.138.879,
Gravid Vorton Tuning System Mutaplasmid,4,6,1.563.331.870,
Heavy Assault Cruisers,33,40,1.559.685.451,
Standup M-Set Equipment Manufacturing Time Efficiency I,1,1,1.559.638.060,
Core X-Type Explosive Armor Hardener,18,21,1.555.600.372,
Black Market 'Valdimar' Repair Drone Operation DR-905,3,3,1.549.750.000,
Cruise Missile Launcher II,201,994,1.549.132.835,
Tengu Propulsion - Interdiction Nullifier,29,32,1.548.859.553,
Capital Magpulse Thruster,3,412,1.548.210.667,
Interdiction Sphere Launcher I,295,620,1.548.188.582,
